2018-11-07;17.98;7803015138
2018-11-03;31.22;7804032046
2018-11-28;16.58;7801114258
2018-11-19;46.13;7809108199
2018-11-06;83.75;7807674481
2018-11-15;25.45;7809650622
2018-11-30;20.99;7801143584
2018-11-30;79.41;7801277960
2018-11-13;41.32;7802986872
2018-11-07;16.58;7803923263
2018-11-04;26.74;7808718436
2018-11-04;58.38;7804092726
2018-11-12;47.76;7808163007
2018-11-29;17.33;7806104411
2018-11-28;80.95;7802449283
2018-11-05;62.58;7805116010
2018-11-11;70.49;7801099676
2018-11-30;32.88;7802950296
2018-11-20;98.20;7809580540
2018-11-09;61.93;7807871869
2018-11-27;36.20;7803668575
2018-11-24;96.15;7801409526
2018-11-09;39.56;7806790825
2018-11-12;72.05;7808750987
2018-11-27;67.18;7804138295
2018-11-09;29.78;7805757050
2018-11-22;13.50;7806408851
2018-11-13;52.26;7802405986
2018-11-19;67.80;7801732559
2018-11-13;24.15;7801830489
2018-11-25;19.25;7806921784
2018-11-19;67.28;7807748838
2018-11-19;71.12;7809640995
2018-11-13;57.20;7801817611
2018-11-26;19.79;7806709928
2018-11-10;92.83;7805331282
2018-11-15;99.45;7804181744
2018-11-24;73.44;7807204451
2018-11-10;44.64;7803778615
2018-11-29;29.95;7808897396
2018-11-02;83.25;7806366087
2018-11-25;93.11;7804182978
2018-11-03;81.22;7805644504
2018-11-08;90.72;7807779969
2018-11-19;62.33;7809926278
2018-11-23;19.77;7808246947
2018-11-01;64.26;7803434175
2018-11-04;98.90;7802296123
2018-11-05;60.92;7803952045
2018-11-23;94.82;7802309219
2018-11-08;50.48;7803999390
2018-11-03;55.86;7805707216
2018-11-07;33.59;7806153112
2018-11-23;70.34;7804190191
2018-11-10;40.91;7809026316
2018-11-30;94.65;7806999536
2018-11-12;43.13;7808427502
2018-11-28;41.51;7808951909
2018-11-07;63.59;7801755738
2018-11-13;42.46;7803232845
2018-11-07;22.99;7805330073
2018-11-27;38.80;7805108945
2018-11-09;36.18;7805740138
2018-11-22;95.45;7809443284
2018-11-09;85.94;7809602308
2018-11-30;19.39;7806666243
2018-11-25;67.77;7807896883
2018-11-03;55.39;7801847193
2018-11-18;17.02;7807473147
2018-11-25;51.98;7805080953
